alcohol,chlorides,citric acid,density,fixed acidity,free sulfur dioxide,pH,residual sugar,sulphates,total sulfur dioxide,volatile acidity,alcohol_score,density_score,volatile acidity_score,free sulfur dioxide_score,total sulfur dioxide_score,residual sugar_score,citric acid_score,fixed acidity_score,chlorides_score,sulphates_score,pH_score
8.8,0.045,0.36,1.001,7.0,45.0,3.0,20.7,0.45,170.0,0.27,-0.38317675737362206,-0.12918319226026018,-0.12220019643054296,0.12055043610222212,-0.08093894944195032,0.08079970972747022,0.06873129749027825,0.054278344390138164,0.03331785023460006,-0.03323062606088177,-0.03308209971176453
9.5,0.049,0.34,0.994,6.3,14.0,3.3,1.6,0.49,132.0,0.3,-0.4046762501553603,-0.016765635608680107,-0.13486659422924252,-0.32015288376258527,0.05017563003706328,-0.10146930745719346,0.07404066431432572,0.0086218066838822,0.01419778525608682,-0.024289317117614246,0.08537471357043132
10.1,0.05,0.4,0.9951,8.1,30.0,3.26,6.9,0.44,97.0,0.28,-0.3035314810610366,0.015088350384764682,-0.1210562118127427,0.09097125995813071,0.0028873197739018564,0.011581698567400014,0.017487155816388444,-0.11140427565032625,0.007998789827216274,-0.05040912546347999,-0.020513822338476404
9.9,0.058,0.32,0.9956,7.2,47.0,3.19,8.5,0.4,186.0,0.23,-0.2977933438613443,0.017183502829731682,0.028296821112712228,0.10272610686073866,-0.07226466885348043,0.03599918279370727,0.06209108810039692,0.049276009313453356,-0.20394851026117253,-0.04345759156526564,-0.01266834543643608
9.9,0.058,0.32,0.9956,7.2,47.0,3.19,8.5,0.4,186.0,0.23,-0.3123263786025182,0.013088121836673365,0.054340742266474146,0.12266526594336223,-0.07437012294383626,0.04171684024281972,0.07990650045523262,0.06237763505614635,-0.1862351898493184,-0.06994500582375741,-0.0010064389502601723
10.1,0.05,0.4,0.9951,8.1,30.0,3.26,6.9,0.44,97.0,0.28,-0.3089739587075863,-0.010724582090484951,-0.1434127298130353,0.09040912540587824,0.017912038083252656,0.0463996484465917,-0.008040617105704338,-0.06977436114950906,-0.016532648830388474,-0.07313162314478645,-0.0235837725916134
9.6,0.045,0.16,0.9949,6.2,30.0,3.18,7.0,0.47,136.0,0.32,-0.2826451492733206,0.0022655355929906995,-0.15760225116376117,0.07634567577672453,0.037287184665450133,0.04695169414526082,-0.11829263166384206,-0.004037649902632924,-0.02452033574962781,-0.03235453279417684,-0.06083169333002311
8.8,0.045,0.36,1.001,7.0,45.0,3.0,20.7,0.45,170.0,0.27,-0.39189042770057425,-0.1299599247247781,-0.13350715306361627,0.1406552878176366,-0.10679823901975792,0.07817183588626252,0.07084822124928916,0.03733577363986152,0.005952657250136236,-0.031895563562421125,-0.05666683128705738
9.5,0.049,0.34,0.994,6.3,14.0,3.3,1.6,0.49,132.0,0.3,-0.3794969831831574,0.017586950259836708,-0.14843098922495482,-0.3388097961002893,0.03192106657611373,-0.13459509701440195,0.0854746160345995,0.027628475665795082,-0.002287657164365082,0.0005837439594389259,0.09767827383953369
11.0,0.044,0.43,0.9938,8.1,28.0,3.22,1.5,0.45,129.0,0.22,0.14002607048005364,0.010630079868623446,0.025074120359404102,0.1024986943604714,0.06454931574555625,-0.15776698791070898,-0.02080941241826781,-0.09241030562635201,0.015308345526669907,-0.038985768687941035,-0.03583266755666524
12.0,0.033,0.41,0.9908,8.1,11.0,2.99,1.45,0.56,63.0,0.27,0.6141429531521303,0.051645543636075306,-0.13658772914189657,-0.329312273224898,0.006550209542619212,-0.12559663264749005,0.012447665501987141,-0.091857807689277,0.12100706141824985,0.10998698304668403,-0.04073827964297809
9.7,0.035,0.4,0.9947,8.6,17.0,3.14,4.2,0.53,109.0,0.23,-0.2927850624684122,0.004942412490665647,0.0370973824314208,-0.320202964068564,0.04177056364902075,0.03592924530120094,-0.006966336790388923,-0.10164781032343753,0.09482908630522574,0.006507175202432036,-0.032659387612815075
