atemp,casual,humidity,registered,temp,windspeed,holiday,season,weather,workingday,weather_score,casual_score,temp_score,humidity_score,workingday_score,season_score,registered_score,atemp_score,holiday_score,windspeed_score
14.395,3,81,13,9.84,0.0,0,1,1,0,-1.258305861162296,-0.015227422009936771,0.011813046248090155,-0.01029696025167408,0.00827955807294054,-0.006750029777284069,-0.0058082971525238326,-0.0031769475547433032,-0.0018740013386552396,0.0011534622277905716
13.635,8,80,32,9.02,0.0,0,1,1,0,-1.2448096464591412,0.003938151366392686,0.0026224403294592613,0.005297058431852574,0.006146032961960856,0.016048859262208677,-0.0043092193101649376,-0.013930825485679628,-0.028127750166366247,0.001920572491823344
13.635,5,80,27,9.02,0.0,0,1,1,0,-1.2914347511800128,6.276347180019903e-05,0.0024155247065923975,-0.007689786201848715,-0.009790751149685783,0.012645069192380249,0.00021593708936398545,0.0029581271574027714,0.031722787160455415,-0.002685379273471673
14.395,3,75,10,9.84,0.0,0,1,1,0,-1.259981080002556,-0.00984941472642298,-0.013584876000354854,-0.018942625444454367,0.003337442829160792,-0.02124011227479433,-0.01456482333631036,-0.014562993410154847,-0.0059856412674526285,-0.004002620443787794
14.395,0,75,1,9.84,0.0,0,1,1,0,-1.2621561896934042,-0.005093842056454665,-0.0011812894030805983,-0.0012438178734032394,-0.010079657228205571,-0.01958121124319572,-0.02956302167575811,-0.016468845343077892,-0.00429216751424426,-0.012441825079384652
12.88,0,75,1,9.84,6.0032,0,1,2,0,0.6550795020215132,-0.021262984774469494,-0.014590876706440397,0.007460106865306842,-0.04235558073110223,-2.9266979825133326e-05,-0.006877085349868297,0.0036236638536358734,-0.07791742132796634,-0.011419160849250057
13.635,2,80,0,9.02,0.0,0,1,1,0,-1.2567930319645209,-0.007081464884409732,-0.011054679770610445,0.0007988725118171298,0.0006221442939164423,0.0005540409263489152,0.01800395250871952,0.008775012304795726,-0.013115456742376902,-0.0034107954472856563
12.88,1,86,2,8.2,0.0,0,1,1,0,-1.2746605235995674,0.000294279012256598,0.0035814960104369902,0.00556262151207403,0.004544007438461868,0.013894354147506185,-0.007607631522751511,0.010391306606157762,0.02025310989618475,-0.009639318267930365
14.395,1,75,7,9.84,0.0,0,1,1,0,-1.2636980887347493,0.005926776806368766,0.0053533221941854175,-0.012553159218431587,0.012872226410659564,-0.000185133282466019,0.0013659727278917243,-0.02326852072608637,0.01990370705950025,0.0016209356667297938
17.425,8,76,6,13.12,0.0,0,1,1,0,-1.2850617127920794,0.009933236505362299,0.01262634313428219,0.021248349230482015,0.00021574899544474986,-0.017117379898202913,-0.005781002052272489,-0.029487013427937962,0.015224046790687886,-0.0036321068232517844
19.695,12,76,24,15.58,16.9979,0,1,1,0,-1.2925059188190853,-0.002285718452917522,-0.007673119674991101,-0.002231830014777277,-0.0006953743319733658,-0.0012973064139143215,-0.014381225469341051,-0.00629909028478165,0.039197596079678244,0.017925501172104737
16.665,26,81,30,14.76,19.0012,0,1,1,0,-1.2625937941472327,0.0049471726471323075,0.011478102462429467,0.011805668461075818,0.009451818338172187,-0.004532101457064683,-0.0036158817936131436,-0.007290393922375464,0.0023629702184344912,-0.0012367694959189838
21.21,29,77,55,17.22,19.0012,0,1,1,0,-1.266167321119734,0.005513706542435958,-0.002051737846992539,-0.007517493569094217,0.004615810247616874,0.0057851973456476856,-0.011014761128650541,-0.00936240070480874,0.0007262289181925168,0.022074230811416642
22.725,47,72,47,18.86,19.9995,0,1,2,0,0.6667665946463693,-0.01772098014102125,-0.028237345504901337,-0.012931486584457724,-0.00602238510697464,-0.0017576812018438063,0.010733271271877497,-0.010319095453359673,-0.02176338307171082,-0.015328707694724079
22.725,35,72,71,18.86,19.0012,0,1,2,0,0.6631965241791845,0.0499871093051113,0.0059851698482276915,-0.003515624164032633,-0.022419653653573166,0.019245597255879068,0.01743216686735643,0.0017985283682671015,0.09264789247163403,-0.023745349985501613
21.97,40,77,70,18.04,19.9995,0,1,2,0,0.6435349565426458,0.02112745501262077,-0.0028336357213194696,-0.01741234391159883,-0.043115681314563656,-0.0113221174218568,-0.01709236922442938,0.012416077379407644,-0.01826032530883033,0.004154765441402101
21.21,41,82,52,17.22,19.9995,0,1,2,0,0.6541128512776094,-0.006204214977300004,-0.0014457644783916973,-0.016167432376773334,0.004025361221274195,-0.02511799475314093,-0.012582688800300603,-0.012266806730117315,0.01709656202198687,0.002143683478304431
21.97,15,82,52,18.04,19.0012,0,1,2,0,0.649056319310059,0.025950263040222826,-0.04994806495592973,-0.021547112065787917,-0.0002643938959650489,0.060845209336275116,-0.006728544653090765,0.007683999282241968,0.04882912872202216,0.018347098034365596
21.21,9,88,26,17.22,16.9979,0,1,3,0,2.1611302131251646,-0.003499628066214405,0.017742514885527125,-0.01794065835132576,0.006099412966217234,-0.0070921656951246055,0.012083215852700217,0.004660785675682498,0.040654685969080076,0.027495674834993305
21.21,6,88,31,17.22,16.9979,0,1,3,0,2.156705095008539,-0.011759852100633475,0.00028133732413884233,0.005310843886903151,-0.020128641039375367,-0.01191463879438279,-0.0054470857838592205,0.014085889811526685,-0.03418387058018218,-0.010634568985127133
20.455,11,87,25,16.4,16.9979,0,1,2,0,0.657286448681897,0.01964318616846564,0.025238296006197068,-0.004316579402811071,-0.0047188501533179435,-0.017968801412913446,-0.0049879284782614495,-0.02925222663791727,-0.007077812396619553,0.05595851183810842
20.455,3,87,31,16.4,12.998,0,1,2,0,0.6709548367581878,-0.026301657032422224,-0.010403074177185008,-0.019665074600637444,-0.015688865569254213,-0.02980750295832131,-0.0061827740375970126,-0.03888906699738317,0.030344210233718236,-0.007283219452575476
